title,budget,revenue,popularity,vote_average,vote_count,genre_names,release_date,overview,poster_path
WALL·E,180000000,521311860,58.517,8.078,17446,,2008-06-22,"What if mankind had to leave Earth and somebody forgot to turn the last robot off? After hundreds of years doing what he was built for, WALL•E discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALL•E has inadvertently stumbled upon the key to the planet's future, and races back to space to report to the humans. Meanwhile, WALL•E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen.",/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg
Gone Girl,61000000,369330363,46.611,7.892,17381,,2014-10-01,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",/qymaJhucquUwjpb8oiqynMeXnID.jpg
The Hobbit: An Unexpected Journey,250000000,1021103568,83.524,7.339,17356,,2012-12-12,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",/yHA9Fc37VmpUA5UncTxxo3rTGVA.jpg
"Monsters, Inc.",115000000,579707738,86.936,7.835,17189,,2001-11-01,"Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home.",/sgheSKxZkttIe8ONsf2sWXPgip3.jpg
Toy Story,30000000,394400000,78.404,7.971,17152,,1995-10-30,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
The Revenant,135000000,532950503,36.747,7.5,17114,,2015-12-25,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",/ji3ecJphATlVgWNY0B0RVXZizdf.jpg
Batman v Superman: Dawn of Justice,250000000,873637528,78.589,5.952,17081,,2016-03-23,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",/5UsK3grJvtQrtzEgqNlDljJW96w.jpg
The Lion King,45000000,763455561,87.384,8.256,16991,,1994-06-24,"A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?",/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg
Gladiator,103000000,465361176,53.587,8.209,16962,,2000-05-04,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg
The Truman Show,60000000,264118201,42.954,8.133,16827,,1998-06-04,"Truman Burbank is the star of The Truman Show, a 24-hour-a-day reality TV show that broadcasts every aspect of his life without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows, including his wife and his best friend, is really an actor, paid to be part of his life.",/vuza0WqY239yBXOadKlGwJsZJFE.jpg
The Incredibles,92000000,631442092,62.609,7.704,16584,,2004-10-27,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.",/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg
Arrival,47000000,203388186,47.983,7.6,16564,,2016-11-10,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",/x2FJsf1ElAgr63Y3PNPtJrcmpoe.jpg
Parasite,11363000,257591776,64.627,8.515,16430,,2019-05-30,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
Thor: The Dark World,170000000,644783140,59.968,6.538,16359,,2013-10-30,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.",/wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg
The Amazing Spider-Man,215000000,757930663,78.989,6.691,16352,,2012-06-23,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",/jIfkQNARYyERqRAq1p1c8xgePp4.jpg
Split,9000000,278454358,44.51,7.337,16345,,2017-01-19,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",/lli31lYTFpvxVBeFHWoe5PMfW5s.jpg
Deadpool 2,110000000,785896609,66.096,7.492,16324,,2018-05-10,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg
The Shining,19000000,44781695,45.252,8.218,16205,,1980-05-23,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",/xazWoLealQwEgqZ89MLZklLZD3k.jpg
Kill Bill: Vol. 1,30000000,180906076,36.315,7.97,16188,,2003-10-10,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg
The Hunger Games: Catching Fire,130000000,865011746,49.864,7.4,16182,,2013-11-15,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",/vrQHDXjVmbYzadOXQ0UaObunoy2.jpg
The Intouchables,13000000,426588510,41.656,8.277,16083,,2011-11-02,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,/323BP0itpxTsO0skTwdnVmf7YC9.jpg
Get Out,4500000,255407969,36.442,7.62,16081,,2017-02-24,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",/mE24wUCfjK8AoBBjaMjho7Rczr7.jpg
The Imitation Game,14000000,233555708,47.491,8.007,15973,,2014-11-14,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg
Bohemian Rhapsody,52000000,903992901,37.55,7.997,15965,,2018-10-24,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg
The Green Mile,60000000,286801374,83.739,8.507,15937,,1999-12-10,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg
The Maze Runner,34000000,348319861,83.206,7.173,15901,,2014-09-10,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",/ode14q7WtDugFDp78fo9lCsmay9.jpg
The Hangover,35000000,469310836,72.655,7.312,15812,,2009-06-02,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",/uluhlXubGu1VxU63X9VHCLWDAYP.jpg
The Empire Strikes Back,18000000,538400000,35.265,8.4,15773,,1980-05-20,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg
Shrek,60000000,487853320,94.456,7.73,15765,,2001-05-18,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",/dyhaB19AICF7TO7CK2aD6KfymnQ.jpg
Ratatouille,150000000,623726000,82.488,7.809,15728,,2007-06-28,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg
Kingsman: The Secret Service,81000000,414351546,56.288,7.636,15664,,2014-12-13,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,/ay7xwXn1G9fzX9TUBlkGA584rGi.jpg
La La Land,30000000,447407695,32.009,7.897,15625,,2016-11-29,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg
Frozen,150000000,1274219009,85.794,7.2,15520,,2013-11-20,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",/kgwjIb2JDHRhNk13lmSxiClFjVk.jpg
Dunkirk,150000000,527000000,34.529,7.456,15464,,2017-07-19,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",/b4Oe15CGLL61Ped0RAS9JpqdmCt.jpg
Zootopia,150000000,1023784195,98.11,7.748,15230,,2016-02-11,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg
Lucy,40000000,458863600,33.913,6.44,15181,,2014-07-25,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",/dhjyfcwEoW6jJ4Q7DpZTp6E58GA.jpg
Jurassic Park,63000000,920100000,24.213,7.941,15141,,1993-06-11,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",/oU7Oq2kFAAlGqbU4VoAE36g4hoI.jpg
The Silence of the Lambs,19000000,272742922,9.119,8.3,15003,,1991-02-14,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg
Spirited Away,19000000,274925095,68.024,8.539,14913,,2001-07-20,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg
Beauty and the Beast,160000000,1266115964,56.226,6.967,14871,,2017-03-16,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,/hKegSKIDep2ewJWPUQD7u0KqFIp.jpg
Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,69.403,7.346,14868,,2006-07-06,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg
Big Hero 6,165000000,657827828,98.41,7.738,14732,,2014-10-24,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",/2mxS4wUimwlLmI1xp6QW6NSU361.jpg
Now You See Me,75000000,351723989,45.241,7.345,14726,,2013-05-29,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,/tWsNYbrqy1p1w6K9zRk0mSchztT.jpg
